model,N,episodes,completed,total_sources,mean_T_s,mean_T_per_N_s,p95_T_s,evidence
q3_parent,10,438,438,4380,3098.7233045799085,309.87233045799087,3735.8581732499997,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,11,453,453,4983,3174.072656584989,288.5520596895445,3893.2090651999997,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,12,397,397,4764,3238.7275044282114,269.893958702351,4019.443191,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,13,426,426,5538,3353.295560826292,257.94581237125317,4144.91022925,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,14,432,432,6048,3373.990101631944,240.9992929737103,4233.50641665,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,15,416,416,6240,3458.8134267572113,230.58756178381412,4271.5645535,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_parent,16,438,438,7008,3213.035732673516,200.81473329209476,4394.455822949999,results/final-20260913/q34_deadline_test3000_20260913/q3_baseline_samples.json
q3_final,10,438,438,4380,3087.721280888128,308.7721280888128,3727.38473605,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,11,453,453,4983,3165.14379795585,287.74034526871367,3885.8128243999995,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,12,397,397,4764,3225.128146571789,268.76067888098237,3961.2512301999996,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,13,426,426,5538,3335.7727057582156,256.5979004429397,4090.9976845,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,14,432,432,6048,3356.370862002315,239.74077585730822,4173.6421387,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,15,416,416,6240,3431.1599685264423,228.7439979017628,4213.60412225,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q3_final,16,438,438,7008,3201.63128769863,200.10195548116437,4349.1587425,results/final-20260913/q34_deadline_test3000_20260913/q3_candidate_samples.json
q4_parent,10,399,399,3990,9951.38852053634,995.1388520536341,12258.621560599995,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,11,437,437,4807,10126.432310750572,920.5847555227792,12614.1732368,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,12,424,424,5088,10069.515394077831,839.1262828398192,13095.115397899992,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,13,425,425,5525,10131.803748569411,779.369519120724,12990.2693066,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,14,471,471,6594,10152.920060957536,725.2085757826812,13427.0694515,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,15,422,422,6330,10110.082377578197,674.0054918385466,13154.2314794,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_parent,16,422,422,6752,7283.3223619573455,455.2076476223341,12579.2162104,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,10,399,399,3990,9954.172048223058,995.4172048223056,12288.793566899998,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,11,437,437,4807,10102.941713274598,918.4492466613272,12595.944757399999,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,12,424,424,5088,10053.330931863207,837.7775776552671,12897.541316349998,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,13,425,425,5525,10126.750502851768,778.9808079116742,12883.724342999994,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,14,471,471,6594,10190.43131087686,727.8879507769184,13488.806596999999,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,15,422,422,6330,10067.554839739338,671.1703226492891,13084.829300399999,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
q4_final,16,422,422,6752,7236.773251523697,452.29832822023104,12330.958741299999,results/final-20260913/q4_baseline_8gpu_1h_20260913/train/final_test.json
