problem,dimension,group,pairs,mean_delta_virtual_s,ci95_low_s,ci95_high_s,mean_delta_per_source_s,ci95_low_per_source_s,ci95_high_per_source_s
3,N,10,446,-4.309092865470836,-12.112526558681395,3.4943408277397223,-0.4309092865470826,-1.2112526558681387,0.3494340827739735
3,N,11,430,-8.222415751162785,-18.038268736177386,1.5934372338518141,-0.7474923410147981,-1.6398426123797618,0.14485793035016548
3,N,12,402,-21.606526619402977,-31.068234632707963,-12.14481860609799,-1.8005438849502484,-2.589019552725664,-1.012068217174833
3,N,13,438,-9.452277331050238,-20.718449862791758,1.813895200691281,-0.7270982562346323,-1.5937269125224416,0.13953040005317696
3,N,14,389,-10.632109300771225,-23.399504157055645,2.1352855555131978,-0.759436378626517,-1.6713931540754043,0.15252039682237029
3,N,15,438,-16.567939378995447,-26.526782306337743,-6.609096451653153,-1.1045292919330292,-1.7684521537558489,-0.4406064301102096
3,N,16,457,-29.056597781181623,-51.60387162062348,-6.509323941739769,-1.8160373613238514,-3.2252419762889675,-0.40683274635873556
3,distribution,area,750,-6.446167117333337,-14.850369436939973,1.9580352022732992,-0.39735002653952706,-1.036487010055638,0.24178695697658387
3,distribution,cluster,750,-27.094928265333326,-41.06648768430257,-13.123368846364079,-1.9695129947281154,-2.9110383243627966,-1.027987665093434
3,distribution,edge,750,-5.663312148000002,-13.750716550203474,2.4240922542034715,-0.4523144366971692,-1.064418486515255,0.15978961312091677
3,distribution,outward,750,-18.068830489333337,-25.604409281990094,-10.53325169667658,-1.4008606509612054,-1.9907934001898329,-0.810927901732578
4,N,10,431,-155.253176074246,-212.8895282691845,-97.61682387930749,-15.525317607424606,-21.288952826918457,-9.761682387930755
4,N,11,454,-171.19044296916297,-231.54148815024809,-110.83939778807786,-15.562767542651182,-21.0492261954771,-10.076308889825263
4,N,12,377,-223.08142785145887,-288.8829825711618,-157.27987313175595,-18.590118987621576,-24.073581880930153,-13.106656094313
4,N,13,422,-185.72344842654033,-252.10848603478553,-119.33841081829512,-14.286419109733876,-19.392960464214276,-9.179877755253473
4,N,14,446,-160.110243470852,-226.13934097728674,-94.08114596441726,-11.43644596220372,-16.1528100698062,-6.720081854601239
4,N,15,427,-232.10541170491797,-306.14522805554395,-158.06559535429196,-15.473694113661201,-20.409681870369603,-10.5377063569528
4,N,16,443,-1009.9823375688487,-1175.1751492723106,-844.7895258653867,-63.123896098053045,-73.44844682951941,-52.79934536658667
4,distribution,area,750,-206.74926318933333,-275.6806785891274,-137.81784778953923,-13.869990382509558,-18.688528091159156,-9.05145267385996
4,distribution,cluster,750,-501.20177154133336,-584.4138511609748,-417.989691921692,-35.65992666833709,-41.24239818457812,-30.077455152096064
4,distribution,edge,750,-301.384608404,-361.9311289703578,-240.8380878376422,-21.89714803564125,-26.24966338163977,-17.544632689642732
4,distribution,outward,750,-224.0669281466667,-286.405402793916,-161.7284534994174,-17.194348690736582,-21.8868389069411,-12.501858474532064
