index,seed,N,baseline_last_clear_s,c_last_clear_s,delta_c_minus_baseline_s
0,1713000000,13,11166.742457,10696.409143,-470.3333139999995
1,1713000001,13,8125.771494,8125.771494,0.0
2,1713000002,12,5797.763439,9670.429,3872.665561
3,1713000003,13,11788.028617,11839.131577,51.10296000000017
4,1713000004,12,5549.809962,8710.789316,3160.979354
5,1713000005,10,6617.530349,6617.530349,0.0
6,1713000006,11,1602.034617,5923.916471,4321.881853999999
7,1713000007,16,8034.143219,8021.868607,-12.274611999999252
8,1713000008,11,9500.491114,9552.694134,52.203019999999015
9,1713000009,11,13007.553908,13132.239714,124.6858059999995
10,1713000010,14,7405.849017,7396.097426,-9.75159099999928
11,1713000011,12,9801.949121,9801.949121,0.0
12,1713000012,10,10589.605374,10732.930362,143.32498799999848
13,1713000013,15,10293.840449,9664.640575,-629.1998739999999
14,1713000014,15,2660.040227,2883.998038,223.95781100000022
15,1713000015,10,15306.019674,15306.019674,0.0
16,1713000016,14,8082.894857,8098.466558,15.571700999999848
17,1713000017,16,8986.558954,8986.558954,0.0
18,1713000018,11,10320.213634,10783.962473,463.74883899999986
19,1713000019,11,9343.579569,9326.695775,-16.883793999999398
20,1713000020,16,5438.355109,5675.806154,237.4510449999998
21,1713000021,15,13215.656131,13405.916369,190.26023800000075
22,1713000022,12,2142.894582,2096.149459,-46.745122999999694
23,1713000023,11,12138.277113,12138.277113,0.0
24,1713000024,14,9762.64173,9539.304083,-223.33764699999847
25,1713000025,16,7568.100785,7568.100785,0.0
26,1713000026,15,4662.04539,9204.942585,4542.8971950000005
27,1713000027,10,10946.424512,11133.98645,187.56193800000074
28,1713000028,16,5457.480194,7249.112499,1791.632305
29,1713000029,15,9486.978259,8685.953484,-801.0247749999999
30,1713000030,14,10780.337959,10381.444469,-398.8934900000004
31,1713000031,14,7886.012412,7886.012412,0.0
32,1713000032,11,9349.107006,9286.115538,-62.99146800000017
33,1713000033,11,11262.376177,11488.062343,225.6861659999995
34,1713000034,13,1573.875727,1713.918662,140.04293499999994
35,1713000035,12,9939.482146,9939.482146,0.0
36,1713000036,13,9241.053547,5705.057698,-3535.995849
37,1713000037,14,10359.657168,10359.657168,0.0
38,1713000038,12,9950.78508,10681.831961,731.0468810000002
39,1713000039,16,9167.924244,9167.924244,0.0
40,1713000040,10,10335.55189,8234.686479,-2100.8654110000007
41,1713000041,10,10136.354243,10136.354243,0.0
42,1713000042,15,9243.969159,9226.012274,-17.956884999999602
43,1713000043,15,7278.773664,7278.773664,0.0
44,1713000044,15,8924.602287,9327.835608,403.2333209999997
45,1713000045,12,10875.791696,10881.260823,5.469127000000299
46,1713000046,10,2616.431361,2737.054103,120.62274200000002
47,1713000047,13,11538.946066,11538.946066,0.0
48,1713000048,12,11208.558598,11796.651672,588.0930740000003
49,1713000049,12,7658.911015,7658.911015,0.0
50,1713000050,16,2399.976016,2368.377876,-31.598140000000058
51,1713000051,10,9163.665764,9163.665764,0.0
52,1713000052,11,9244.597914,8812.203064,-432.3948500000006
53,1713000053,11,6274.088216,6274.088216,0.0
54,1713000054,16,1410.083793,1374.71591,-35.36788300000012
55,1713000055,13,9883.571906,9839.658275,-43.91363099999944
56,1713000056,14,9570.201365,9570.201365,0.0
57,1713000057,10,10777.770949,10777.770949,0.0
58,1713000058,16,2016.999735,2016.999735,0.0
59,1713000059,13,10776.268851,10776.268851,0.0
60,1713000060,10,9823.735455,9950.483725,126.74827000000005
61,1713000061,16,5019.779844,4932.333128,-87.44671599999947
62,1713000062,14,10089.689036,10512.943232,423.25419599999987
63,1713000063,10,12350.219058,12350.219058,0.0
64,1713000064,11,7101.106528,7194.068762,92.96223399999963
65,1713000065,10,9051.373396,9045.552405,-5.820991000000504
66,1713000066,11,9341.009113,9337.453855,-3.5552580000003218
67,1713000067,12,10386.104981,10351.653607,-34.451374000000214
68,1713000068,15,6916.583497,9532.426597,2615.8431
69,1713000069,15,14258.159151,14258.159151,0.0
70,1713000070,14,6168.784919,6192.757707,23.972788000000037
71,1713000071,14,9665.471737,8182.915101,-1482.5566360000003
72,1713000072,14,11970.464362,11524.101578,-446.36278400000083
73,1713000073,11,10324.770746,9276.829434,-1047.9413120000008
74,1713000074,14,4396.992585,7355.950738,2958.9581529999996
75,1713000075,16,15309.522621,11524.099845,-3785.4227759999994
76,1713000076,11,9432.186657,7234.91064,-2197.276017
77,1713000077,12,8814.26837,8814.26837,0.0
78,1713000078,16,4006.139883,4020.677594,14.5377110000004
79,1713000079,12,10462.71497,10462.71497,0.0
80,1713000080,14,8223.429198,8137.915969,-85.51322900000014
81,1713000081,16,14017.235013,14029.596893,12.361880000000383
82,1713000082,10,8337.612833,8247.528697,-90.08413599999949
83,1713000083,14,10324.491248,10324.491248,0.0
84,1713000084,16,8646.47807,8741.43054,94.95247000000018
85,1713000085,12,8427.401426,8350.684105,-76.71732100000008
86,1713000086,13,9230.551135,9145.025568,-85.52556700000059
87,1713000087,11,9960.547247,9960.547247,0.0
88,1713000088,14,6499.961468,6511.210893,11.249424999999974
89,1713000089,16,9539.484427,9539.484427,0.0
90,1713000090,10,2426.289949,2571.230791,144.94084199999998
91,1713000091,11,9786.662605,9786.662605,0.0
92,1713000092,14,9019.723871,9874.335163,854.6112919999996
93,1713000093,14,10740.321705,10737.311076,-3.0106290000003355
94,1713000094,11,2395.817156,2395.817156,0.0
95,1713000095,14,8806.333132,8806.333132,0.0
96,1713000096,10,9961.806411,9590.335371,-371.47104000000036
97,1713000097,10,10271.776253,10276.276999,4.500745999999708
98,1713000098,14,1733.680694,1647.897137,-85.78355699999997
99,1713000099,15,15834.745702,15792.817534,-41.92816800000037
100,1713000100,15,9049.564289,9671.102811,621.5385220000007
101,1713000101,11,11439.966838,11497.444929,57.47809099999904
102,1713000102,10,9467.384864,9406.536595,-60.84826900000007
103,1713000103,13,10101.688493,10101.688493,0.0
104,1713000104,13,11486.788922,11315.066252,-171.7226699999992
105,1713000105,11,8861.626791,8861.626791,0.0
106,1713000106,15,6648.226229,2634.566216,-4013.6600129999997
107,1713000107,12,9327.433571,9327.433571,0.0
108,1713000108,11,9842.635533,9662.458157,-180.17737600000146
109,1713000109,16,6910.823625,8105.741079,1194.9174540000004
110,1713000110,15,4459.827924,2911.129338,-1548.698586
111,1713000111,14,10435.15997,10435.15997,0.0
