source_path,suggested_target,handling,source_sha256,bytes,note
.gitignore,.gitignore,保留 main 并整合,1510c34a2fb7de5ef99241a51bfe4195d4f14a81fdab7927b1a0848fec8f0120,59,不覆盖 main 布局、规则和已有依赖；原版本保留于来源 Git 提交
README.md,README.md,保留 main 并整合,0fd78cd5d35037632b721cd1120ee977b5ecc1112bb4818d89eaacc7c9df7873,3074,不覆盖 main 布局、规则和已有依赖；原版本保留于来源 Git 提交
artifacts/q1/crossing/geometry.pdf,results/validation/import-c457828/artifacts/q1/crossing/geometry.pdf,复用 main,0c7456583719dc38dc4bb43402c0bd94c02d85bf4abf5c2de3468840c61f28c6,15966,
artifacts/q1/crossing/geometry.png,results/validation/import-c457828/artifacts/q1/crossing/geometry.png,复用 main,91c58d9ed82e80859ba669956c3e6acec005483553865cca9aca29da6a558d2c,118770,
artifacts/q1/crossing/input.json,results/validation/import-c457828/artifacts/q1/crossing/input.json,复用 main,182ef5b316704fc7e2c769f16c1f2ce127016527425ae7f1ef2dccb1e3e96532,330,
artifacts/q1/crossing/provenance.json,results/validation/import-c457828/artifacts/q1/crossing/provenance.json,复用 main,c29f3bd0ef2226b17698080b0e803b1658ba6ade99a7d83c4b2d67aa5c7e06a8,254,
artifacts/q1/crossing/result.json,results/validation/import-c457828/artifacts/q1/crossing/result.json,复用 main,a43146fd0b47ce83ca3f41433fe5c8d3b95a0beedfe84172db366bc0b9cbb77e,771,
artifacts/q1/triangle/geometry.pdf,results/validation/import-c457828/artifacts/q1/triangle/geometry.pdf,复用 main,6c9898cfe054b2027ff09313b287ae860ce6cdd9af4ee322d6e04c7d8aa4d1df,15739,
artifacts/q1/triangle/geometry.png,results/validation/import-c457828/artifacts/q1/triangle/geometry.png,复用 main,efe3bba50c8de8d612385cfaca568acf7172244a4365dab1c2954c3247714851,104682,
artifacts/q1/triangle/input.json,results/validation/import-c457828/artifacts/q1/triangle/input.json,复用 main,ad0db024bbf8a81d1ab9b1c2ea8dede8482b5a7b7914570038de01cebd72e53d,482,
artifacts/q1/triangle/provenance.json,results/validation/import-c457828/artifacts/q1/triangle/provenance.json,复用 main,404c639a910372d54c17fd1d1ecb12ebe66e6341fb036c6c6a487a1d2f25e122,254,
artifacts/q1/triangle/result.json,results/validation/import-c457828/artifacts/q1/triangle/result.json,复用 main,0714dab56d57e19aa9a454d219eafec8933142076f5651b1590db529cd8f92db,646,
artifacts/q2/example/input.json,results/validation/import-c457828/artifacts/q2/example/input.json,复用 main,6c4ced683c1c305dab5095eb463a3b264edf3e504c57ce9cd881b95f3425c1a1,170,
artifacts/q2/example/provenance.json,results/validation/import-c457828/artifacts/q2/example/provenance.json,复用 main,53650394d335125a306d3f842d2c7dd254d3d2dab674d135e43c258e92f7f471,199,
artifacts/q2/example/q2.pdf,results/validation/import-c457828/artifacts/q2/example/q2.pdf,复用 main,80c5f6a5ca942eb56917a4f8fb687748317e0c36e6bbf611299aab8d96d2b7f6,26483,
artifacts/q2/example/q2.png,results/validation/import-c457828/artifacts/q2/example/q2.png,复用 main,6d5f1c89af5b16c3977e65446e5b5f1c9203f5f152b8f54a550e9c247fc1dafd,154930,
artifacts/q2/example/result.json,results/validation/import-c457828/artifacts/q2/example/result.json,复用 main,83a5a3281ea5e507281943f9783e8770483466be804f475808f5298733d29013,79204,
artifacts/q3/coverage.json,results/validation/import-c457828/artifacts/q3/coverage.json,复用 main,fc17c563eecdf8f9037e6ded0e17eb9d2289038f0be44cc7eec37a733cc9f785,3574,
artifacts/q4/triangular_grid.json,results/validation/import-c457828/artifacts/q4/triangular_grid.json,复用 main,3e268baa5648ba96fd2a5d2848dbcef187323871ac83f1f1c5d6de8c4cdd5eb2,12449,
bsim/__init__.py,deployment/runtime_public_v2/bsim/__init__.py,保留冻结实现,967ff09517cb806a6b6c579c99105850862a9bf0884d1db1167e2fd81bab83c0,100,不覆盖 main 已有协议/路径适配；冻结运行时保全原字节
bsim/__main__.py,deployment/runtime_public_v2/bsim/__main__.py,保留冻结实现,708e2679407b0b6a825ad1a2debb95d25f19403cdf713d5c5db3eff04f997aa9,6809,不覆盖 main 已有协议/路径适配；冻结运行时保全原字节
bsim/client.py,deployment/runtime_public_v2/bsim/client.py,保留冻结实现,acb69eda926bddfc3ccfcb840899406abd5bb8257154d31f96d4c689db7cb558,4131,不覆盖 main 已有协议/路径适配；冻结运行时保全原字节
bsim/clocks.py,src/bsim/clocks.py,复用 main,d1760109982198d84774b81b5f2120b80fac004ea68458720279ba1dc1a17c17,583,
bsim/env.py,deployment/runtime_public_v2/bsim/env.py,保留冻结实现,291e1f3d23386b672f317d98ad94ac09b676369f0a3204357f821b56c55ba7d5,1046,不覆盖 main 已有协议/路径适配；冻结运行时保全原字节
bsim/evaluation.py,deployment/runtime_public_v2/bsim/evaluation.py,保留冻结实现,fc51c3bd83b01fb96d946007b3dbd24f11b6704bc638244fceeadec1ce27fb5c,5457,不覆盖 main 已有协议/路径适配；冻结运行时保全原字节
bsim/fast.py,src/bsim/fast.py,复用 main,024fbe85c2f80cffd53ed9c07a52c323657785a0f2b24f21f2dd1eced4550f88,1650,
