path,format,bytes,sha256,role
handoff/figures/F001-controller-workflow.pdf,pdf,30821,be9ff6af57516e4e5d697ef8d3ab1a805307d96c08ae74611f83589ef65099bc,本批中文写作图件
handoff/figures/F001-controller-workflow.png,png,260109,5a08a301f1972cbeb1975b79133be66013dd6acb4abb7b808a5890c25a14cfd9,本批中文写作图件
handoff/figures/F001-controller-workflow.svg,svg,5184,48a4666aabc736f10700c9496020e19441d64903015f619f41934f378bbff6e9,本批中文写作图件
handoff/figures/F002-q1-diameter-circle.pdf,pdf,179587,121543b364ec536fb5734af3a34a3448725897649d214db7b3ca340d854c6d55,本批中文写作图件
handoff/figures/F002-q1-diameter-circle.png,png,144556,2880786d4e9e695dabdfc2f9ffbdc5e57a60a9298c225c5235d9dd0631b61d3e,本批中文写作图件
handoff/figures/F002-q1-diameter-circle.svg,svg,16938,dddc71446b622c3cfa0492c63b2ed0124df48a206576d50be571571142b3c619,本批中文写作图件
handoff/figures/F003-q2-candidates.pdf,pdf,188211,cd40d4477f9151bbe860124705a6e6d18775e1c9888e0284d72fca472a06affb,本批中文写作图件
handoff/figures/F003-q2-candidates.png,png,220741,ccf7233724de3894f33fd5566a1f55c80a7404e111bfff44707e269b75f59dd0,本批中文写作图件
handoff/figures/F003-q2-candidates.svg,svg,56213,cfaa15871f40c2ff65ba1bffc7b24d50bdcc6adbec06a4ca653ca3034088246f,本批中文写作图件
handoff/figures/F004-q3-coverage.pdf,pdf,181688,77877af9a1b79e45a302ef303daddccc4ba00983d2c54807c4d2e46003e0b2c0,本批中文写作图件
handoff/figures/F004-q3-coverage.png,png,231263,c6de22649ba8cde89e827ac37a41503e64d79adfd1f86bc899fd39d28d59c143,本批中文写作图件
handoff/figures/F004-q3-coverage.svg,svg,26014,1ef68231f7208240fecb7b81de288ecb46366d3b56448572ce94e7329bdbca82,本批中文写作图件
handoff/figures/F005-q4-directional-coverage.pdf,pdf,185059,870434439d1eb20bb4d6e427bcd22dd2bec90f75d25674a1872611b286d2d4d5,本批中文写作图件
handoff/figures/F005-q4-directional-coverage.png,png,249450,d68581afd19e8da110d880f0e515197f804749ab7a8799ee753d45375465a7c2,本批中文写作图件
handoff/figures/F005-q4-directional-coverage.svg,svg,28446,90d18684a712604435e8675bcbff589c252a427d262c51e0c85b4d683b712d33,本批中文写作图件
handoff/figures/F006-q34-per-source-ecdf.pdf,pdf,228571,ece1bb50cf9247549129358d8485562546ee4c55bf31700c11d1e5a7ea263184,本批中文写作图件
handoff/figures/F006-q34-per-source-ecdf.png,png,149351,d52a311d4cbd9bbe357da147126011d0f6ad0f91210b30581fef28634a2ae60d,本批中文写作图件
handoff/figures/F006-q34-per-source-ecdf.svg,svg,138216,6263accc1efbe94d1883013f7b36111310d031c56dc286ee2cb22299afb2a41b,本批中文写作图件
handoff/figures/F007-q34-paired-by-count.pdf,pdf,183100,0874e5b1561f2763d32abc6f6f8cc2a10e321ebf3401684990c49469cac279b2,本批中文写作图件
handoff/figures/F007-q34-paired-by-count.png,png,111498,8cb62065e83132c1eef15c9e9b2b6a4890805f48fe79d6442f45b5358d22ecac,本批中文写作图件
handoff/figures/F007-q34-paired-by-count.svg,svg,28783,205705b93d5fbe2e6f7e631af5f68d8401dc74893737f841daf1efa63013d449,本批中文写作图件
handoff/figures/F008-q34-validation-progress.pdf,pdf,184283,a95fe6ed16563f63c8247fa208b7fa5748a62c5cf31dd75037701fc12c97f507,本批中文写作图件
handoff/figures/F008-q34-validation-progress.png,png,224905,a74072c486858678232e3bfe27abb18bd515f6005b0033eabb87df64a0884e74,本批中文写作图件
handoff/figures/F008-q34-validation-progress.svg,svg,29436,1e2a145f3d13831ee7c833991d6710a6c3e59d63ee20faac28f37f6ff0352977,本批中文写作图件
handoff/figures/F009-training-evaluation-workflow.pdf,pdf,33290,d514048da2430a93bbf6ba657c8701bf05bb5cb5ab78ba1dacd4e00305ca8cd1,本批中文写作图件
handoff/figures/F009-training-evaluation-workflow.png,png,246641,58a91fb1825a221b593cbc32adc6a0e20fb8cf1251c3e5adae09a5f6ffe36c0b,本批中文写作图件
handoff/figures/F009-training-evaluation-workflow.svg,svg,5231,d11afe26fab654081c80a2ae40c0fac8ad134448a9371a946f4d9f2cc91a69da,本批中文写作图件
handoff/figures/F010-q2-observed-posterior.pdf,pdf,186989,8b2e2c6e1e4c3b15274d62049e8a83916c8def326a090feaa02510be2efcc2d5,本批中文写作图件
handoff/figures/F010-q2-observed-posterior.png,png,267976,3393287666fe5b534a52726503ae2a309861ec0f7312428650afa7692a85d92c,本批中文写作图件
