path,category,bytes,sha256
.agents/skills/README.md,.agents,704,937e74a7bd0630557eb0d6bf598687844fd665505c91821cd7fc88f29cb868a5
.agents/skills/academic-plotting/SKILL.md,.agents,15385,6ec6d56762e81d5429ff29b3874922325ac3260a74ed44d45905e9eb8d835eb1
.agents/skills/academic-plotting/references/data-visualization.md,.agents,18629,b7d6f178f857b4d1d48a4cf2c32e7651992c57518d04e1e69b018a11438b2b62
.agents/skills/academic-plotting/references/diagram-generation.md,.agents,20158,ca2b35bae6e7fa3e217f2d054cdfa45627bb038c685cf1f1a0e1810964e6c3f1
.agents/skills/academic-plotting/references/gemini-backend.md,.agents,2892,018adc75fdf9656cfd10e8757d604d06de1cafe5bddb2b74fda5052fa5203a12
.agents/skills/academic-plotting/references/style-guide.md,.agents,9349,535d21174010d29b25b3fec81fe6d4b78531e9ff0a77e0bebd89b1e34e6c240f
.agents/skills/awesome-ai-research-writing/README.md,.agents,56740,683ccab5559a3cb029736ca3dd70e3ff674aadcae0e2af3dbad9ef307093a7ef
.agents/skills/awesome-ai-research-writing/SKILL.md,.agents,3925,5e1fb49ff54f3ce00dbfd64ad15874edb1eab16f0d0874f038504089c010c133
.agents/skills/awesome-ai-research-writing/images/example.png,.agents,755703,e196197f38a45100d0a63a732f0b8c027bb80d41d1f58e4dc52f887fcb0b0a2b
.agents/skills/awesome-ai-research-writing/images/model-rank.png,.agents,269312,f118ba794b37ecaba1d506188d873c1c0ca151648c683ebeaab6438454914791
.agents/skills/awesome-ai-research-writing/images/nano-banana.png,.agents,12367681,3bcd3bce5f76a5764af0163968c360b232481bf57d317fcaf0a10fceaa98e091
.gitignore,root,850,f6fab8b4c58aeffd60a3b488724dda0b0f8c4b877f61514217bf5ad2053455bb
AGENTS.md,root,1690,5a85d1bb569e6039165fe1af8f89166413a472bfb504aca0234e9bbd83b621eb
README.md,root,8607,de44bdf35ef7dcc1b54c824ac47f91a8e60dce3a6433a2182630878bb7c3cfcd
docs/README.md,docs,794,977b9e163aa9e546b1dc5236c36017a69d08604cb8eef87efaae521988c1e4f8
docs/model/实现索引.md,docs,3683,94296c051ff6454c870b714f8ed705d008ae1f0a1f223b97564ea2ed72250dd3
docs/model/总体方案.md,docs,47801,1dbf7230fa4ab26506d424e2f6cb2c6968887a78796d7a1c39248a33d304620f
docs/notes/extracted/B题.txt,docs,12479,56fc2af614977b5f3b30f2ee09dc7cf39b33d0c18cc9b41c6117f424aba8e849
docs/notes/extracted/page2.png,docs,196610,d0d4aac5bcd8e6f2dc8b50fe4715ea1b3b7cf3e230ef1567bc224b454cc4d0ba
docs/notes/extracted/page3.png,docs,234779,5f0ba1ef18236f9f21d6dbce3813e26b6ff4b3fa6318fe453815f180ec44be21
docs/notes/extracted/附件1.txt,docs,11235,cbabb150dc49957987a5e4249a5e23f09b02aaaf90c5b98add58bcd5c28ff989
docs/notes/extracted/附件2.txt,docs,27188,16e523cf48acc747763b285322a829362f24805136f3b1e9974d5e6513432ad7
docs/notes/题目阅读.md,docs,22889,fc91ae8c2395fa0f1947afbd1312946fe7d24a48e93466425dc339da3887f713
docs/references/README.md,docs,3088,435fbbdcfe4ec5adc68844582238e6041206b5aa181ce98314f85011bb0fd54b
docs/references/references.bib,docs,785,b5cdad654eb8c318e8d6bdddc0d99e7e01ec26afb287f860cd530f6a15b17384
docs/simulator/README.md,docs,5200,36112a670f1ca9fdbc4c55d24ca6627f002ae7e2788f0081eed5809b636cdb42
