N,seed,C,completion,virtual_time_s,time_per_clear_s,path_length_m,macro_steps,error
10,710000000,10,True,2792.472584,279.2472584,10302.362926697608,23,
10,710000001,10,True,3858.152056,385.8152056,15270.76028737984,28,
10,710000002,10,True,2564.001869,256.4001869,8700.00933385308,18,
10,710000003,10,True,3193.810578,319.3810578,11964.052885800707,28,
10,710000004,10,True,2884.629448,288.4629448,10678.147234144022,26,
10,710000005,10,True,3321.913345,332.1913345,12494.566709108922,27,
10,710000006,10,True,2644.963786,264.49637859999996,10244.818933119583,19,
10,710000007,10,True,3434.730665,343.4730665,13178.653329520572,28,
10,710000008,10,True,2953.219806,295.3219806,11116.099026260546,23,
10,710000009,10,True,3240.327738,324.0327738,12176.638690037928,30,
10,710000010,10,True,2455.966995,245.59669950000003,9149.834974379013,19,
10,710000011,10,True,3241.266294,324.1266294,12061.331471173045,32,
10,710000012,10,True,3336.48476,333.64847599999996,13222.423803811125,27,
10,710000013,10,True,3592.999028,359.29990280000004,13979.995145828962,28,
10,710000014,10,True,2280.128138,228.0128138,8345.640682637846,18,
10,710000015,10,True,3474.446836,347.4446836,13447.234185426034,27,
10,710000016,10,True,3946.536525,394.6536525,15822.682629862778,26,
10,710000017,10,True,3109.866396,310.9866396,11359.331991248468,31,
10,710000018,10,True,2383.308294,238.3308294,8881.541476180415,20,
10,710000019,10,True,3332.170598,333.2170598,12510.85299820405,28,
10,710000020,10,True,2839.127039,283.9127039,10925.635190572253,25,
10,710000021,10,True,3218.778333,321.8778333,12178.891662261643,30,
10,710000022,10,True,2529.342726,252.93427259999999,9631.713632170478,25,
10,710000023,10,True,3348.691988,334.8691988,12733.459958827989,29,
10,710000024,10,True,3074.389096,307.4389096,11641.94547908907,23,
10,710000025,10,True,3536.319773,353.6319773,13441.598864485002,28,
10,710000026,10,True,2347.211306,234.7211306,8681.056528027693,23,
10,710000027,10,True,3517.031164,351.7031164,13560.15582728142,31,
10,710000028,10,True,3527.463413,352.7463413,13582.317059658495,26,
10,710000029,10,True,3067.774791,306.7774791,11548.873955012066,33,
10,710000030,10,True,2283.181446,228.3181446,8290.907220546731,25,
10,710000031,10,True,3512.682759,351.2682759,13458.413783614586,28,
10,710000032,10,True,2978.487027,297.8487027,10947.435134785243,22,
10,710000033,10,True,3437.304336,343.7304336,13291.521692885171,28,
10,710000034,10,True,2682.577719,268.25777189999997,10257.888603539419,25,
10,710000035,10,True,3507.316447,350.7316447,13671.582239320614,29,
10,710000036,10,True,3031.121105,303.11211050000003,11650.605531968338,24,
10,710000037,10,True,3409.533943,340.9533943,13067.669705727032,30,
10,710000038,10,True,2218.043277,221.80432770000002,8080.216387008915,20,
10,710000039,10,True,3456.304261,345.6304261,13406.521312869121,27,
10,710000040,10,True,3052.711421,305.2711421,11588.557114581132,23,
10,710000041,10,True,3632.093815,363.2093815,14050.469086216583,30,
10,710000042,10,True,2551.802358,255.1802358,9734.011790816397,20,
10,710000043,10,True,3665.496391,366.54963910000004,14252.48195364296,28,
10,710000044,10,True,2967.615966,296.76159659999996,11128.079828420063,22,
10,710000045,10,True,3310.312918,331.0312918,12281.564582624229,30,
10,710000046,10,True,2549.178497,254.91784969999998,9660.89248657506,26,
10,710000047,10,True,3084.194036,308.4194036,11595.970176129995,29,
10,710000048,10,True,2998.236836,299.8236836,11326.18418264573,24,
10,710000049,10,True,3477.305722,347.7305722,13401.52860724602,28,
10,710000050,10,True,2307.781883,230.7781883,8503.909421458293,23,
10,710000051,10,True,3369.653574,336.9653574,12858.267881989897,28,
10,710000052,10,True,3226.305915,322.6305915,11671.529577979647,22,
10,710000053,10,True,3223.768969,322.3768969,12118.84484550205,30,
10,710000054,10,True,2629.472105,262.9472105,9927.36053438488,21,
10,710000055,10,True,3550.028103,355.0028103,13615.140508369963,28,
10,710000056,10,True,2760.992667,276.0992667,10109.963337746663,21,
10,710000057,10,True,3727.167777,372.7167777,14570.838887058744,28,
10,710000058,10,True,2245.899396,224.58993959999998,8169.496973901421,19,
10,710000059,10,True,3216.063309,321.6063309,12145.316553134135,34,
10,710000060,10,True,2947.514027,294.7514027,10747.57014000844,23,
10,710000061,10,True,3278.785038,327.8785038,12303.925189263522,28,
10,710000062,10,True,2279.128835,227.9128835,8370.644185361734,19,
10,710000063,10,True,3440.26205,344.026205,13186.310264476857,28,
10,710000064,10,True,3790.801043,379.0801043,14684.005204397614,27,
10,710000065,10,True,3289.891566,328.9891566,12394.457822380036,32,
10,710000066,10,True,2863.492708,286.3492708,11217.463536492462,19,
10,710000067,10,True,3101.429795,310.1429795,11672.148976092953,28,
