model,seed,N,C,completion,virtual_time_s,time_per_clear_s,macro_steps,error
baseline,419000000,13,13,True,3700.234926,284.6334558461539,27,
baseline,419000001,16,16,True,3950.760238,246.922514875,40,
baseline,419000002,16,16,True,1130.962516,70.68515725,27,
baseline,419000003,15,15,True,3809.093985,253.939599,38,
baseline,419000004,14,14,True,3713.24277,265.2316264285714,32,
baseline,419000005,11,11,True,3509.703285,319.063935,35,
baseline,419000006,11,11,True,2503.080495,227.55277227272728,20,
baseline,419000007,15,15,True,4498.270246,299.8846830666667,39,
baseline,419000008,10,10,True,2901.758513,290.17585130000003,22,
baseline,419000009,16,16,True,4397.584984,274.8490615,45,
baseline,419000010,14,14,True,2721.610095,194.40072107142856,29,
baseline,419000011,13,13,True,3553.388383,273.3375679230769,39,
baseline,419000012,13,13,True,3330.767948,256.2129190769231,24,
baseline,419000013,12,12,True,3920.898385,326.7415320833333,33,
baseline,419000014,10,10,True,2553.495311,255.3495311,20,
baseline,419000015,13,13,True,3744.488659,288.03758915384617,37,
baseline,419000016,16,16,True,4014.415605,250.9009753125,34,
baseline,419000017,14,14,True,3564.141903,254.5815645,35,
baseline,419000018,10,10,True,2556.003239,255.6003239,18,
baseline,419000019,13,13,True,3708.533818,285.27183215384616,33,
baseline,419000020,10,10,True,2808.39336,280.839336,20,
baseline,419000021,16,16,True,4067.697206,254.231075375,44,
baseline,419000022,10,10,True,2566.594232,256.6594232,22,
baseline,419000023,14,14,True,3536.437419,252.60267278571428,39,
baseline,419000024,12,12,True,3327.950656,277.32922133333335,24,
baseline,419000025,15,15,True,4069.004322,271.2669548,40,
baseline,419000026,14,14,True,2655.435471,189.6739622142857,26,
baseline,419000027,12,12,True,3658.834877,304.90290641666667,33,
baseline,419000028,11,11,True,3400.786862,309.162442,28,
baseline,419000029,14,14,True,3509.099783,250.64998450000002,40,
baseline,419000030,10,10,True,2604.831143,260.4831143,19,
baseline,419000031,14,14,True,4424.377284,316.0269488571429,37,
baseline,419000032,16,16,True,3287.936528,205.496033,31,
baseline,419000033,16,16,True,3879.352678,242.459542375,43,
baseline,419000034,15,15,True,2958.243706,197.21624706666668,30,
baseline,419000035,10,10,True,3362.986707,336.2986707,32,
baseline,419000036,14,14,True,3680.763653,262.9116895,27,
baseline,419000037,11,11,True,3828.291596,348.02650872727276,30,
baseline,419000038,11,11,True,2295.281977,208.66199790909093,19,
baseline,419000039,14,14,True,3761.916233,268.7083023571428,40,
baseline,419000040,12,12,True,3157.991291,263.16594091666667,28,
baseline,419000041,15,15,True,3596.185598,239.74570653333333,48,
baseline,419000042,14,14,True,2413.208303,172.37202164285713,27,
baseline,419000043,15,15,True,4362.466739,290.83111593333336,39,
baseline,419000044,12,12,True,3298.164757,274.84706308333335,25,
baseline,419000045,15,15,True,3587.416207,239.16108046666668,40,
baseline,419000046,12,12,True,2843.592696,236.966058,24,
baseline,419000047,15,15,True,3740.290998,249.3527332,40,
baseline,419000048,13,13,True,3307.752755,254.4425196153846,27,
baseline,419000049,11,11,True,3464.346255,314.94056863636365,30,
baseline,419000050,12,12,True,2431.510775,202.62589791666667,21,
baseline,419000051,15,15,True,3845.188433,256.3458955333333,40,
baseline,419000052,12,12,True,3628.060432,302.33836933333333,31,
baseline,419000053,12,12,True,3578.810076,298.234173,35,
baseline,419000054,10,10,True,2511.387552,251.13875520000002,19,
baseline,419000055,14,14,True,4175.327239,298.2376599285714,36,
baseline,419000056,10,10,True,3062.452158,306.2452158,21,
baseline,419000057,13,13,True,3479.483167,267.6525513076923,37,
baseline,419000058,11,11,True,2633.050012,239.36818290909093,21,
baseline,419000059,13,13,True,3337.156709,256.7043622307692,39,
baseline,419000060,11,11,True,3164.152544,287.6502312727273,23,
baseline,419000061,11,11,True,3871.479894,351.9527176363636,30,
baseline,419000062,13,13,True,2670.908731,205.45451776923076,24,
baseline,419000063,11,11,True,2885.574248,262.3249316363636,36,
baseline,419000064,16,16,True,3858.015419,241.1259636875,38,
baseline,419000065,13,13,True,3477.455238,267.4965567692308,38,
baseline,419000066,10,10,True,2464.124935,246.41249349999998,24,
baseline,419000067,16,16,True,4172.893302,260.805831375,38,
baseline,419000068,15,15,True,3607.801391,240.52009273333334,30,
baseline,419000069,11,11,True,3841.137121,349.19428372727276,32,
baseline,419000070,11,11,True,2555.507297,232.3188451818182,24,
baseline,419000071,15,15,True,3532.670028,235.5113352,44,
baseline,419000072,10,10,True,3000.423086,300.04230859999996,21,
baseline,419000073,16,16,True,4152.212695,259.5132934375,40,
baseline,419000074,10,10,True,2378.3289,237.83289,24,
baseline,419000075,12,12,True,3410.942908,284.24524233333335,35,
baseline,419000076,15,15,True,3549.833008,236.65553386666667,33,
baseline,419000077,14,14,True,3296.108639,235.43633135714285,35,
baseline,419000078,16,16,True,1461.896982,91.368561375,21,
baseline,419000079,13,13,True,4408.894379,339.14572146153847,35,
baseline,419000080,12,12,True,3230.908096,269.24234133333334,24,
baseline,419000081,10,10,True,3490.337651,349.0337651,30,
baseline,419000082,14,14,True,2432.029928,173.71642342857143,32,
baseline,419000083,10,10,True,2939.907831,293.9907831,31,
baseline,419000084,11,11,True,3141.37954,285.5799581818182,24,
baseline,419000085,15,15,True,4186.367374,279.0911582666667,40,
baseline,419000086,10,10,True,2302.806545,230.2806545,19,
baseline,419000087,15,15,True,3973.438705,264.8959136666667,39,
baseline,419000088,14,14,True,3832.563491,273.75453507142856,33,
baseline,419000089,14,14,True,3468.429177,247.74494121428572,41,
baseline,419000090,11,11,True,2174.455129,197.677739,20,
baseline,419000091,16,16,True,4441.344609,277.5840380625,40,
baseline,419000092,12,12,True,3476.662989,289.72191575,27,
baseline,419000093,13,13,True,3849.865002,296.1434616923077,39,
baseline,419000094,11,11,True,2658.798944,241.70899490909093,23,
baseline,419000095,12,12,True,3445.745446,287.1454538333333,38,
baseline,419000096,14,14,True,3277.801937,234.1287097857143,26,
baseline,419000097,12,12,True,3849.852576,320.821048,33,
baseline,419000098,13,13,True,2332.012762,179.38559707692306,23,
baseline,419000099,14,14,True,3643.060895,260.2186353571429,38,
baseline,419000100,11,11,True,3519.93046,319.9936781818182,27,
baseline,419000101,14,14,True,3723.410504,265.95789314285713,41,
baseline,419000102,14,14,True,2712.082367,193.72016907142856,25,
baseline,419000103,11,11,True,3576.071329,325.0973935454545,30,
baseline,419000104,10,10,True,2807.445507,280.7445507,21,
baseline,419000105,16,16,True,3720.131531,232.5082206875,41,
baseline,419000106,15,15,True,2659.084251,177.27228340000002,30,
baseline,419000107,14,14,True,3634.074785,259.57677035714283,38,
baseline,419000108,16,16,True,3750.240946,234.390059125,32,
baseline,419000109,12,12,True,3808.084007,317.3403339166667,33,
baseline,419000110,10,10,True,2377.822305,237.78223050000003,18,
baseline,419000111,16,16,True,4082.558615,255.1599134375,39,
baseline,419000112,16,16,True,3991.127244,249.44545275,34,
baseline,419000113,12,12,True,3673.493899,306.12449158333334,34,
baseline,419000114,14,14,True,2389.402558,170.6716112857143,26,
baseline,419000115,15,15,True,4577.043843,305.13625620000005,38,
baseline,419000116,12,12,True,2971.73555,247.64462916666665,21,
baseline,419000117,14,14,True,3686.493524,263.320966,38,
baseline,419000118,15,15,True,2709.071109,180.60474059999999,29,
baseline,419000119,13,13,True,3501.787724,269.36828646153845,39,
baseline,419000120,15,15,True,3331.445055,222.096337,35,
baseline,419000121,12,12,True,4076.00931,339.6674425,34,
baseline,419000122,13,13,True,2559.61146,196.89318923076922,27,
baseline,419000123,12,12,True,3551.648927,295.97074391666666,34,
baseline,419000124,12,12,True,3095.803646,257.98363716666665,29,
baseline,419000125,11,11,True,3366.299981,306.027271,32,
baseline,419000126,12,12,True,2525.301991,210.4418325833333,26,
baseline,419000127,14,14,True,4175.60355,298.25739642857144,37,
baseline,419000128,11,11,True,2999.852687,272.7138806363636,24,
baseline,419000129,15,15,True,3899.047868,259.93652453333334,41,
baseline,419000130,13,13,True,2711.541298,208.58009984615384,30,
baseline,419000131,13,13,True,3528.825619,271.44812453846157,41,
baseline,419000132,14,14,True,3937.069049,281.2192177857143,28,
baseline,419000133,12,12,True,3779.202574,314.9335478333333,32,
baseline,419000134,10,10,True,2400.551543,240.0551543,19,
baseline,419000135,12,12,True,3810.252242,317.5210201666667,32,
baseline,419000136,14,14,True,4314.55947,308.1828192857143,32,
baseline,419000137,10,10,True,3414.969742,341.4969742,28,
baseline,419000138,13,13,True,2599.314791,199.9472916153846,24,
baseline,419000139,10,10,True,3273.633952,327.3633952,30,
baseline,419000140,14,14,True,3500.561632,250.04011657142857,29,
baseline,419000141,12,12,True,3719.39434,309.9495283333333,33,
baseline,419000142,10,10,True,2737.182531,273.71825309999997,22,
baseline,419000143,10,10,True,3312.44482,331.244482,32,
baseline,419000144,12,12,True,3443.010486,286.91754050000003,28,
baseline,419000145,11,11,True,3646.341468,331.485588,32,
baseline,419000146,13,13,True,2140.654588,164.66573753846154,22,
baseline,419000147,13,13,True,3679.612932,283.04714861538463,39,
baseline,419000148,12,12,True,3826.746873,318.89557275,30,
baseline,419000149,12,12,True,3254.296402,271.19136683333335,32,
baseline,419000150,14,14,True,2381.287049,170.09193207142857,25,
baseline,419000151,16,16,True,4585.45652,286.5910325,44,
baseline,419000152,15,15,True,3688.610414,245.90736093333334,25,
baseline,419000153,11,11,True,3563.569341,323.96084918181816,31,
baseline,419000154,13,13,True,2689.33575,206.8719807692308,25,
baseline,419000155,10,10,True,3188.029932,318.8029932,30,
baseline,419000156,16,16,True,3274.472879,204.6545549375,32,
baseline,419000157,12,12,True,3517.072926,293.0894105,32,
baseline,419000158,14,14,True,2218.125092,158.4375065714286,22,
baseline,419000159,13,13,True,3475.380787,267.3369836153846,37,
baseline,419000160,14,14,True,3506.038416,250.43131542857142,30,
baseline,419000161,16,16,True,3369.291399,210.5807124375,42,
baseline,419000162,11,11,True,2727.628752,247.9662501818182,22,
baseline,419000163,13,13,True,3994.886971,307.29899776923077,36,
baseline,419000164,15,15,True,3186.847812,212.4565208,25,
baseline,419000165,13,13,True,3512.912559,270.224043,37,
baseline,419000166,13,13,True,2508.816707,192.98590053846152,24,
baseline,419000167,11,11,True,3019.893223,274.53574754545457,33,
baseline,419000168,12,12,True,3106.895393,258.90794941666667,24,
baseline,419000169,15,15,True,4207.044092,280.46960613333334,42,
baseline,419000170,10,10,True,2594.59432,259.459432,18,
baseline,419000171,10,10,True,3284.56202,328.45620199999996,32,
baseline,419000172,16,16,True,3690.793571,230.6745981875,35,
baseline,419000173,10,10,True,3389.798278,338.9798278,30,
baseline,419000174,15,15,True,2558.75982,170.583988,33,
baseline,419000175,16,16,True,3591.748101,224.4842563125,42,
baseline,419000176,14,14,True,3796.701311,271.1929507857143,29,
baseline,419000177,16,16,True,4204.212754,262.763297125,41,
baseline,419000178,15,15,True,2213.346964,147.55646426666667,27,
baseline,419000179,10,10,True,3016.782187,301.6782187,26,
baseline,419000180,12,12,True,3748.983397,312.41528308333335,30,
baseline,419000181,10,10,True,3365.908126,336.5908126,29,
baseline,419000182,13,13,True,2541.356979,195.4889983846154,23,
baseline,419000183,13,13,True,4298.969112,330.68993169230765,38,
baseline,419000184,13,13,True,3576.715619,275.1319706923077,28,
baseline,419000185,13,13,True,3523.306304,271.0235618461539,39,
baseline,419000186,11,11,True,2922.752487,265.70477154545455,22,
baseline,419000187,11,11,True,3824.225377,347.65685245454546,32,
baseline,419000188,15,15,True,3292.065611,219.47104073333333,26,
baseline,419000189,13,13,True,3776.508119,290.5006245384615,36,
baseline,419000190,15,15,True,2634.097449,175.60649659999999,27,
baseline,419000191,15,15,True,3564.68256,237.64550400000002,40,
baseline,419000192,12,12,True,3169.837397,264.15311641666665,28,
baseline,419000193,13,13,True,3600.317289,276.94748376923076,35,
baseline,419000194,10,10,True,2384.834633,238.48346329999998,24,
baseline,419000195,16,16,True,3725.691982,232.855748875,46,
baseline,419000196,15,15,True,4440.419847,296.0279898,33,
baseline,419000197,14,14,True,3480.43185,248.602275,36,
baseline,419000198,13,13,True,3268.919654,251.455358,24,
baseline,419000199,12,12,True,3499.286234,291.6071861666667,35,
baseline,419000200,16,16,True,3205.603946,200.350246625,30,
baseline,419000201,10,10,True,3587.150529,358.7150529,30,
baseline,419000202,16,16,True,3230.232415,201.8895259375,32,
baseline,419000203,16,16,True,3746.469285,234.1543303125,45,
baseline,419000204,15,15,True,2978.438808,198.5625872,29,
baseline,419000205,11,11,True,3431.888831,311.9898937272728,30,
baseline,419000206,10,10,True,2153.238963,215.32389629999997,18,
baseline,419000207,12,12,True,4384.459281,365.37160675,34,
baseline,419000208,12,12,True,3265.319228,272.1099356666667,26,
baseline,419000209,16,16,True,3797.774106,237.360881625,45,
baseline,419000210,14,14,True,2516.402517,179.74303692857143,30,
baseline,419000211,14,14,True,4076.154731,291.1539093571429,37,
baseline,419000212,15,15,True,3355.494765,223.699651,27,
baseline,419000213,16,16,True,4041.504171,252.5940106875,42,
baseline,419000214,10,10,True,2360.76602,236.076602,19,
baseline,419000215,12,12,True,3444.317741,287.02647841666663,36,
baseline,419000216,11,11,True,3427.431751,311.58470463636365,25,
baseline,419000217,12,12,True,3512.765431,292.7304525833333,33,
baseline,419000218,14,14,True,2336.148094,166.86772100000002,22,
baseline,419000219,15,15,True,3921.366689,261.42444593333335,41,
baseline,419000220,13,13,True,3610.446936,277.7266873846154,27,
baseline,419000221,15,15,True,4113.350428,274.22336186666666,40,
baseline,419000222,13,13,True,2539.577149,195.3520883846154,23,
baseline,419000223,13,13,True,4274.813891,328.83183776923073,35,
baseline,419000224,14,14,True,3318.830445,237.0593175,25,
baseline,419000225,12,12,True,3301.938732,275.161561,32,
baseline,419000226,14,14,True,2521.075554,180.07682528571428,29,
baseline,419000227,16,16,True,3905.463304,244.0914565,47,
baseline,419000228,15,15,True,3061.442162,204.09614413333333,27,
baseline,419000229,15,15,True,3814.540885,254.30272566666665,40,
baseline,419000230,13,13,True,2331.23556,179.3258123076923,23,
baseline,419000231,16,16,True,3777.002341,236.0626463125,42,
baseline,419000232,11,11,True,4071.332527,370.1211388181818,28,
baseline,419000233,11,11,True,3525.106612,320.46423745454547,31,
baseline,419000234,12,12,True,2370.065606,197.50546716666668,24,
baseline,419000235,13,13,True,3842.481769,295.5755206923077,34,
baseline,419000236,14,14,True,3048.975414,217.78395814285713,30,
baseline,419000237,13,13,True,3423.212003,263.32400023076923,37,
baseline,419000238,11,11,True,3047.27363,277.02487545454545,27,
baseline,419000239,12,12,True,3474.956004,289.57966700000003,36,
baseline,419000240,10,10,True,3245.643363,324.56433630000004,25,
baseline,419000241,16,16,True,4284.15207,267.759504375,42,
baseline,419000242,13,13,True,2255.528549,173.5021960769231,24,
baseline,419000243,15,15,True,4217.192934,281.1461956,41,
baseline,419000244,11,11,True,3337.809684,303.43724399999996,24,
baseline,419000245,12,12,True,3553.099599,296.09163325000003,37,
baseline,419000246,12,12,True,2653.1703,221.09752500000002,25,
