N,total_s,last_clear_s,last_discovery_s,tail_s,tail_fraction,last_discovery_to_end_s,discovered_by_6000,cleared_by_6000,all_found_by_6000,all_cleared_by_6000,all_done_5000_6000,tail_measures,tail_no_signal,after_6000_measures,after_6000_no_signal,discovered_total,cleared_total,all_move_s,all_measure_s,all_switch_s,all_clear_s,tail_move_s,tail_measure_s,tail_switch_s,tail_clear_s,after_6000_s,after_6000_tail_s,cost_accounting_error,absent_channel_measures,after_6000_absent_channel_measures,after_6000_clear_successes,after_6000_clear_failures,after6000_discovery_count,seed,completion,error,original_total_s,replay_delta_s,distribution
11,11544.438436,11544.438436,6103.010242,0.0,0.0,5441.428194,10,6,False,False,False,0,0,175,171,11,11,8639.438436,2330.0,433.0,142.0,0,0,0,0,5544.438436,0.0,0.0,279,135,5,28,1,1245000000,True,,11544.438436,0.0,area
12,9026.797762,6503.409266,1655.0,2523.3884960000005,0.2795441487149162,7371.797762,12,10,True,False,False,72,72,87,87,12,12,6695.797762,1915.0,353.0,63.0,2100.3884960000005,360.0,63.0,0.0,3026.797762,2523.3884960000005,0.0,248,87,2,0,0,1245000001,True,,9026.797762,0.0,edge
10,8778.85722,5891.401054,1245.273004,2887.456166,0.32891025490445325,7533.584216,10,10,True,True,False,110,110,110,110,10,10,6640.85722,1765.0,323.0,50.0,2237.456166,550.0,100.0,0.0,2778.85722,2778.85722,0.0,310,110,0,0,0,1245000002,True,,8778.85722,0.0,cluster
16,12579.767235,12579.767235,7889.737143,0.0,0.0,4690.030091999999,12,8,False,False,False,0,0,101,90,16,16,9206.767235,2090.0,384.0,899.0,0,0,0,0,6579.767234999999,0.0,0.0,106,28,8,273,4,1245000003,True,,12579.767235,0.0,outward
11,9106.406647,7671.021473,1277.0,1435.385174,0.15762366316826748,7829.406647,11,9,True,False,False,45,45,105,105,11,11,6795.406647,1900.0,350.0,61.0,1169.385174,225.0,41.0,0.0,3106.406647,1435.385174,0.0,279,99,2,1,0,1245000004,True,,9106.406647,0.0,area
12,9479.991791,8356.702726,6073.138807,1123.2890650000008,0.11849051030470463,3406.852984,11,7,False,False,False,32,32,114,109,12,12,6811.991791,2170.0,402.0,96.0,935.2890650000008,160.0,28.0,0.0,3479.9917910000004,1123.2890650000008,0.0,248,96,5,12,1,1245000005,True,,9479.991791,0.0,edge
14,9491.285232,9491.285232,737.0,0.0,0.0,8754.285232,14,11,True,False,False,0,0,99,99,14,14,7319.285232,1645.0,292.0,235.0,0,0,0,0,3491.285232,0.0,0.0,186,60,3,55,0,1245000006,True,,9491.285232,0.0,cluster
12,9735.06293,9735.06293,7926.044164,0.0,0.0,1809.0187660000001,11,3,False,False,False,0,0,149,134,12,12,6771.06293,2445.0,459.0,60.0,0,0,0,0,3735.06293,0.0,0.0,248,104,9,0,1,1245000007,True,,9735.06293,0.0,outward
14,10635.850917,10635.850917,4648.869206,0.0,0.0,5986.981710999999,14,10,True,False,False,0,0,101,99,14,14,8228.850917,1815.0,330.0,262.0,0,0,0,0,4635.850917,0.0,0.0,186,72,4,58,0,1245000008,True,,10635.850917,0.0,area
13,9322.88095,8075.427861,5371.048781,1247.4530890000005,0.13380553668874218,3951.8321690000002,13,12,True,False,False,28,28,86,85,13,13,7009.880950000001,1885.0,348.0,80.0,1083.4530890000005,140.0,24.0,0.0,3322.8809500000007,1247.4530890000005,0.0,217,79,1,1,0,1245000009,True,,9322.88095,0.0,edge
10,8840.939395,2036.319978,737.0,6804.619417,0.7696715374893711,8103.939394999999,10,10,True,True,False,260,260,110,110,10,10,6732.939394999999,1740.0,318.0,50.0,5270.619417,1300.0,234.0,0.0,2840.9393949999994,2840.9393949999994,0.0,310,110,0,0,0,1245000010,True,,8840.939395,0.0,cluster
15,10238.841021,10238.841021,7751.37851,0.0,0.0,2487.4625110000006,12,8,False,False,False,0,0,115,101,15,15,7745.841021,2040.0,378.0,75.0,0,0,0,0,4238.841021,0.0,0.0,155,70,7,0,3,1245000011,True,,10238.841021,0.0,outward
14,10784.28275,10784.28275,6247.962167,0.0,0.0,4536.320583000001,13,12,False,False,False,0,0,94,92,14,14,8628.28275,1735.0,315.0,106.0,0,0,0,0,4784.28275,0.0,0.0,186,79,2,11,1,1245000012,True,,10784.28275,0.0,area
15,9069.364488,5460.913266,1685.0,3608.4512219999997,0.3978725551028929,7384.364487999999,15,15,True,True,False,65,65,55,55,15,15,6898.364487999999,1755.0,320.0,96.0,3231.4512219999997,325.0,52.0,0.0,3069.3644879999993,3069.3644879999993,0.0,155,55,0,0,0,1245000013,True,,9069.364488,0.0,edge
13,8446.253374,2284.574048,725.0,6161.6793259999995,0.7295162781840553,7721.253374,13,13,True,True,False,175,175,70,70,13,13,6836.253374,1310.0,232.0,68.0,5136.679326,875.0,150.0,0.0,2446.253374,2446.253374,0.0,217,70,0,0,0,1245000014,True,,8446.253374,0.0,cluster
14,17512.007332,17512.007332,6549.970207,0.0,0.0,10962.037125,11,4,False,False,False,0,0,159,154,14,14,12678.007332000001,2375.0,436.0,2023.0,0,0,0,0,11512.007332000001,0.0,0.0,186,72,10,651,3,1245000015,True,,17512.007332,0.0,outward
15,10261.487289,8676.649647,3969.569642,1584.8376420000004,0.15444521806297004,6291.917647,15,13,True,False,False,20,20,79,78,15,15,8376.487289,1525.0,276.0,84.0,1467.8376420000004,100.0,17.0,0.0,4261.487289000001,1584.8376420000004,0.0,155,65,2,3,0,1245000016,True,,10261.487289,0.0,area
11,10070.306545,10070.306545,7449.574779,0.0,0.0,2620.731766,10,5,False,False,False,0,0,143,135,11,11,7148.3065449999995,2410.0,451.0,61.0,0,0,0,0,4070.3065449999995,0.0,0.0,279,108,6,2,1,1245000017,True,,10070.306545,0.0,edge
11,10767.655333,10767.655333,1061.0,0.0,0.0,9706.655333,11,7,True,False,False,0,0,163,162,11,11,7852.655333000001,2215.0,408.0,292.0,0,0,0,0,4767.655333000001,0.0,0.0,279,108,4,78,0,1245000018,True,,10767.655333,0.0,cluster
11,9528.791107,9231.257785,8785.90116,297.5333219999993,0.031224666241389917,742.8899469999997,8,7,False,False,False,9,9,135,127,11,11,6629.791106999999,2395.0,449.0,55.0,243.53332199999932,45.0,9.0,0.0,3528.791106999999,297.5333219999993,0.0,279,108,4,0,3,1245000019,True,,9528.791107,0.0,outward
11,9059.177436,8318.48927,1976.100887,740.6881659999999,0.08176108385476598,7083.076548999999,11,9,True,False,False,27,27,103,103,11,11,6832.177436,1835.0,337.0,55.0,581.6881659999999,135.0,24.0,0.0,3059.177436,740.6881659999999,0.0,279,103,2,0,0,1245000020,True,,9059.177436,0.0,area
16,7601.786518,7601.786518,2327.0,0.0,0.0,5274.786518,16,13,True,False,False,0,0,1,0,16,16,5833.786518,1145.0,213.0,410.0,0,0,0,0,1601.786518,0.0,0.0,31,0,3,105,0,1245000021,True,,7601.786518,0.0,edge
14,9013.839245,2510.08048,1974.724558,6503.758764999999,0.7215303699372774,7039.114686999999,14,14,True,True,False,144,144,58,58,14,14,7515.839244999999,1210.0,212.0,76.0,5663.758765,720.0,120.0,0.0,3013.839244999999,3013.839244999999,0.0,186,58,0,0,0,1245000022,True,,9013.839245,0.0,cluster
16,10053.09311,10053.09311,7696.334318,0.0,0.0,2356.7587919999996,11,6,False,False,False,0,0,72,60,16,16,7349.09311,1955.0,360.0,389.0,0,0,0,0,4053.09311,0.0,0.0,93,17,10,103,5,1245000023,True,,10053.09311,0.0,outward
15,9732.275349,9732.275349,3517.543507,0.0,0.0,6214.731841999999,15,13,True,False,False,0,0,96,94,15,15,7745.275349,1615.0,294.0,78.0,0,0,0,0,3732.2753489999996,0.0,0.0,155,70,2,0,0,1245000024,True,,9732.275349,0.0,area
16,9451.116688,9451.116688,8148.57672,0.0,0.0,1302.539968,13,9,False,False,False,0,0,68,55,16,16,7212.116688,1775.0,330.0,134.0,0,0,0,0,3451.116688,0.0,0.0,102,27,7,11,3,1245000025,True,,9451.116688,0.0,edge
10,9291.517813,5747.137056,4618.893899,3544.380757000001,0.38146412979383915,4672.623914000001,10,10,True,True,False,130,130,130,130,10,10,6605.517813,2215.0,412.0,59.0,2777.380757000001,650.0,117.0,0.0,3291.5178130000004,3291.5178130000004,0.0,310,130,0,0,0,1245000026,True,,9291.517813,0.0,cluster
14,10517.168142,10517.168142,8987.768327,0.0,0.0,1529.3998150000007,12,5,False,False,False,0,0,123,113,14,14,7636.168142,2360.0,442.0,79.0,0,0,0,0,4517.168142,0.0,0.0,186,72,9,3,2,1245000027,True,,10517.168142,0.0,outward
15,9648.180744,6902.035677,2044.87209,2746.1450669999995,0.2846282775856753,7603.3086539999995,15,12,True,False,False,40,40,54,54,15,15,7914.180743999999,1400.0,250.0,84.0,2514.1450669999995,200.0,32.0,0.0,3648.1807439999993,2746.1450669999995,0.0,155,54,3,0,0,1245000028,True,,9648.180744,0.0,area
12,10024.908454,9440.13797,7668.621106,584.7704840000006,0.05833175302131298,2356.2873480000007,10,5,False,False,False,16,16,135,124,12,12,7106.908454,2400.0,452.0,66.0,490.7704840000006,80.0,14.0,0.0,4024.9084540000003,584.7704840000006,0.0,248,96,7,0,2,1245000029,True,,10024.908454,0.0,edge
15,8221.178924,2007.733331,749.0,6213.445593,0.755785228668501,7472.178924,15,15,True,True,False,130,130,45,45,15,15,6909.178924,1055.0,182.0,75.0,5458.4455929999995,650.0,105.0,0.0,2221.178924,2221.178924,0.0,155,45,0,0,0,1245000030,True,,8221.178924,0.0,cluster
15,9649.10849,9649.10849,6360.224559,0.0,0.0,3288.8839310000003,14,11,False,False,False,0,0,74,69,15,15,7308.1084900000005,1910.0,353.0,78.0,0,0,0,0,3649.1084900000005,0.0,0.0,155,55,4,0,1,1245000031,True,,9649.10849,0.0,outward
10,9287.241121,9287.241121,5992.061716,0.0,0.0,3295.179404999999,10,6,True,False,False,0,0,129,124,10,10,6759.241120999999,2090.0,388.0,50.0,0,0,0,0,3287.241120999999,0.0,0.0,310,115,4,0,0,1245000032,True,,9287.241121,0.0,area
15,11300.95824,11300.95824,6879.187074,0.0,0.0,4421.7711659999995,14,12,False,False,False,0,0,69,68,15,15,8431.95824,1880.0,344.0,645.0,0,0,0,0,5300.95824,0.0,0.0,155,55,3,187,1,1245000033,True,,11300.95824,0.0,edge
