model,seed,N,C,completion,virtual_time_s,time_per_clear_s,macro_steps,error
baseline,409000000,15,15,True,3263.394702,217.5596468,32,
baseline,409000001,12,12,True,3152.449567,262.7041305833333,36,
baseline,409000002,15,15,True,2926.742007,195.1161338,32,
baseline,409000003,14,14,True,3438.999984,245.642856,43,
baseline,409000004,15,15,True,3360.102031,224.00680206666667,35,
baseline,409000005,14,14,True,3621.172951,258.6552107857143,36,
baseline,409000006,12,12,True,2386.389872,198.86582266666667,24,
baseline,409000007,13,13,True,3634.290537,279.5608105384615,39,
baseline,409000008,11,11,True,3457.127619,314.284329,26,
baseline,409000009,13,13,True,3481.711851,267.82398853846155,44,
baseline,409000010,10,10,True,2582.608937,258.2608937,18,
baseline,409000011,10,10,True,3530.063166,353.0063166,30,
baseline,409000012,12,12,True,3177.355683,264.77964025,23,
baseline,409000013,14,14,True,4053.072859,289.5052042142857,36,
baseline,409000014,10,10,True,2411.240124,241.1240124,23,
baseline,409000015,12,12,True,3183.50435,265.2920291666667,33,
baseline,409000016,13,13,True,3740.333755,287.71798115384615,27,
baseline,409000017,16,16,True,4257.645814,266.102863375,40,
baseline,409000018,12,12,True,2282.806407,190.23386725,20,
baseline,409000019,13,13,True,3535.112781,271.9317523846154,35,
baseline,409000020,16,16,True,3799.236761,237.4522975625,32,
baseline,409000021,14,14,True,3868.588035,276.3277167857143,42,
baseline,409000022,15,15,True,2545.552634,169.70350893333335,25,
baseline,409000023,12,12,True,3883.88193,323.6568275,32,
baseline,409000024,13,13,True,3449.113829,265.3164483846154,30,
baseline,409000025,16,16,True,4027.236017,251.7022510625,41,
baseline,409000026,16,16,True,1835.870259,114.7418911875,26,
baseline,409000027,10,10,True,3231.375506,323.1375506,33,
baseline,409000028,15,15,True,3713.763244,247.5842162666667,29,
baseline,409000029,11,11,True,3619.397654,329.03615036363635,30,
baseline,409000030,12,12,True,2405.40616,200.45051333333333,23,
baseline,409000031,16,16,True,3808.389036,238.02431475,45,
candidate,409000000,15,15,True,3263.394702,217.5596468,32,
candidate,409000001,12,12,True,3152.449567,262.7041305833333,36,
candidate,409000002,15,15,True,2926.742007,195.1161338,32,
candidate,409000003,14,14,True,3438.999984,245.642856,43,
candidate,409000004,15,15,True,3360.102031,224.00680206666667,35,
candidate,409000005,14,14,True,3621.172951,258.6552107857143,36,
candidate,409000006,12,12,True,2386.389872,198.86582266666667,24,
candidate,409000007,13,13,True,3634.290537,279.5608105384615,39,
candidate,409000008,11,11,True,3457.127619,314.284329,26,
candidate,409000009,13,13,True,3481.711851,267.82398853846155,44,
candidate,409000010,10,10,True,2582.608937,258.2608937,18,
candidate,409000011,10,10,True,3530.063166,353.0063166,30,
candidate,409000012,12,12,True,3177.355683,264.77964025,23,
candidate,409000013,14,14,True,4053.072859,289.5052042142857,36,
candidate,409000014,10,10,True,2411.240124,241.1240124,23,
candidate,409000015,12,12,True,3185.375378,265.44794816666666,33,
candidate,409000016,13,13,True,3681.980876,283.2292981538462,30,
candidate,409000017,16,16,True,4257.645814,266.102863375,40,
candidate,409000018,12,12,True,2282.806407,190.23386725,20,
candidate,409000019,13,13,True,3535.112781,271.9317523846154,35,
candidate,409000020,16,16,True,3799.236761,237.4522975625,32,
candidate,409000021,14,14,True,3868.588035,276.3277167857143,42,
candidate,409000022,15,15,True,2527.162945,168.47752966666667,24,
candidate,409000023,12,12,True,3883.88193,323.6568275,32,
candidate,409000024,13,13,True,3449.113829,265.3164483846154,30,
candidate,409000025,16,16,True,4027.236017,251.7022510625,41,
candidate,409000026,16,16,True,1835.870259,114.7418911875,26,
candidate,409000027,10,10,True,3231.375506,323.1375506,33,
candidate,409000028,15,15,True,3713.763244,247.5842162666667,29,
candidate,409000029,11,11,True,3619.397654,329.03615036363635,30,
candidate,409000030,12,12,True,2405.40616,200.45051333333333,23,
candidate,409000031,16,16,True,3808.389036,238.02431475,45,
