station_id,x_m,y_m,inside_source_disk,exact_x,exact_y
0,-2487.5,-861.6952767655164,False,-4975/2,-2154238191913791/2500000000000
1,-2487.5,861.6952767655164,False,-4975/2,2154238191913791/2500000000000
2,-1990.0,-1723.3905535310328,False,-1990,-2154238191913791/1250000000000
3,-1990.0,0.0,False,-1990,0
4,-1990.0,1723.3905535310328,False,-1990,2154238191913791/1250000000000
5,-1492.5,-861.6952767655164,True,-2985/2,-2154238191913791/2500000000000
6,-1492.5,861.6952767655164,True,-2985/2,2154238191913791/2500000000000
7,-995.0,-1723.3905535310328,False,-995,-2154238191913791/1250000000000
8,-995.0,0.0,True,-995,0
9,-995.0,1723.3905535310328,False,-995,2154238191913791/1250000000000
10,-497.5,-2585.085830296549,False,-995/2,-2585085830296549/1000000000000
11,-497.5,-861.6952767655164,True,-995/2,-2154238191913791/2500000000000
12,-497.5,861.6952767655164,True,-995/2,2154238191913791/2500000000000
13,-497.5,2585.085830296549,False,-995/2,2585085830296549/1000000000000
14,0.0,-1723.3905535310328,True,0,-2154238191913791/1250000000000
15,0.0,0.0,True,0,0
16,0.0,1723.3905535310328,True,0,2154238191913791/1250000000000
17,497.5,-2585.085830296549,False,995/2,-2585085830296549/1000000000000
18,497.5,-861.6952767655164,True,995/2,-2154238191913791/2500000000000
19,497.5,861.6952767655164,True,995/2,2154238191913791/2500000000000
20,497.5,2585.085830296549,False,995/2,2585085830296549/1000000000000
21,995.0,-1723.3905535310328,False,995,-2154238191913791/1250000000000
22,995.0,0.0,True,995,0
23,995.0,1723.3905535310328,False,995,2154238191913791/1250000000000
24,1492.5,-861.6952767655164,True,2985/2,-2154238191913791/2500000000000
25,1492.5,861.6952767655164,True,2985/2,2154238191913791/2500000000000
26,1990.0,-1723.3905535310328,False,1990,-2154238191913791/1250000000000
27,1990.0,0.0,False,1990,0
28,1990.0,1723.3905535310328,False,1990,2154238191913791/1250000000000
29,2487.5,-861.6952767655164,False,4975/2,-2154238191913791/2500000000000
30,2487.5,861.6952767655164,False,4975/2,2154238191913791/2500000000000
