N,seed,C,completion,virtual_time_s,time_per_clear_s,macro_steps,measures,switches,clear_failures,path_length_m,directional_sources,scenario_sha256,last_successful_clear_macro_end_s,error
10,2101000000,10,True,9468.086447,946.8086447,42,413,384,1,34830.43223177002,3,0bb43de3c0bc7be970dce97d32ed6a7d9ee9e0318f88332ec69481631b297293,7842.742562,
10,2101000001,10,True,9910.39031,991.039031,42,442,411,3,36151.951546142634,2,d23d2aadf61bb22078bb93d8f1454223f282aff6322172208586c1530bdeccbe,9690.113371,
10,2101000002,10,True,8513.704865,851.3704865,42,342,311,1,32198.524331282155,6,ea63a5c19616d8c4a0723f922fd82ce912f82ea8bde804db49433c8b91a3e437,1513.851652,
10,2101000003,10,True,9631.75452,963.1754520000001,42,475,445,1,33793.77259526181,5,e21719ed931a9c59e49fc40ddff9949fe8a31dce42e638f36df35e5683a0fe1f,8746.001008,
10,2101000004,10,True,9604.059118,960.4059117999999,42,413,383,1,35515.29559492404,1,29410f8aa3fb586350ce4d59eb19444f25150406017e1561eabf8366f89f7001,8186.005676,
10,2101000005,10,True,9451.454554,945.1454554,42,433,402,0,34172.27276246,2,c0299ad77d868b8dbf300c23739c0198783863ab97490fd11fba5fef13f19e40,9451.454554,
10,2101000006,10,True,9072.42355,907.242355,42,343,314,2,34937.11774661392,4,488f394d4e72576ea0967deba21c14433dc4763ed9115922675c855c7aff0467,2019.37312,
10,2101000007,10,True,10750.379667,1075.0379667,42,520,489,1,38041.89832987187,9,64772943367a987bdd0af1e0cbdbd76711a1fd1237ab74dd4a4612df0bd83d9e,10750.379667,
10,2101000008,10,True,10031.936403,1003.1936403,45,451,419,14,36329.68200007584,7,06dc003570c4c8fddb655ffd2f31dc60db28c8b8b62c7113672938e98f07a179,10031.936403,
10,2101000009,10,True,9580.483598,958.0483598000001,42,514,484,2,32352.417985347874,7,cbf36a55b5c8570fa6e0581194653a7368a30b97ea193dbfb24d565b46911e68,9580.483598,
10,2101000010,10,True,8682.357509,868.2357509,42,338,307,0,33176.78754821214,4,c7e8ebb47325f829c052fa4da9d5b613952dc004601dddb2203ff1590b2e75de,1637.696316,
10,2101000011,10,True,10915.841098,1091.5841098,44,446,414,119,39324.20553622178,3,ffd6433ad4f3a3fb6be30179956d018f72465e6c47d47a233dc53db7035dfbc5,10915.841098,
10,2101000012,10,True,9516.348751,951.6348750999999,42,401,372,0,35446.743758170145,2,18bde1fca018f7daf6e40903576fcf93a183ee45e3940f59047336d622fa7113,9516.348751,
10,2101000013,10,True,9105.722029,910.5722029000001,42,417,388,1,32898.610144361526,2,afb11f8fbd477c224ef0545d268e632c2e380b02c46c7d1929c1b7d6a69a0122,4991.416429,
10,2101000014,10,True,10697.618767,1069.7618767,49,473,439,31,38753.09381824828,6,1cd90e0de9d5dcf901115afc1c323efeaeddb0de7d4b16d740ea232a675c5222,10697.618767,
10,2101000015,10,True,9610.013834,961.0013833999999,42,424,393,0,35235.0691804497,3,c1c4da227a436c86a5f1d61c194c9188efaaeeda12bdbbe9847c93c58baab5f5,8970.519765,
10,2101000016,10,True,9350.109149,935.0109149,42,382,353,2,35155.54574435694,4,040bd269fe6a8559a0e4aabf38d5b0ccdf97df85ec2602bff6da87a615b0635f,8470.639621,
10,2101000017,10,True,10296.203852,1029.6203852,43,506,475,0,36206.01926621946,4,3f6e9831aee27ad656cfe9aea9750d51763d3677e1ce9b3c3841cc263f5cfd59,10296.203852,
10,2101000018,10,True,9141.847556,914.1847556,42,382,352,0,34149.23778818614,7,3e45e91428515e3f66f6816eaaad77ea24749f56f2bca0c0f2636ec36e40a583,3525.681511,
10,2101000019,10,True,10325.468594,1032.5468594,42,493,462,0,36742.342970103615,6,c0d3b7b83ad264228fcc0129d46e6aca4b0ed6a11d5d0f5bdba3ec3c8ecbe0d3,10325.468594,
10,2101000020,10,True,12758.689629,1275.8689629,48,498,464,225,45398.448022211065,6,639d3954d18d1fc37ee447af50e921ba6630b3d2c9e09570ab5350ea0298315e,12758.689629,
10,2101000021,10,True,10005.699713,1000.5699713,42,514,483,3,34468.49855073838,8,51ed770ad5f565d29380502a3ff0e32efc6171254c32bf4403da67be779cd1a4,10005.699713,
10,2101000022,10,True,9411.528177,941.1528177,42,347,316,0,36552.64087923314,3,ddf3f12f0c9023eb8ff57fd6fca8958425287bdef160488b6b618249abe13355,2389.011484,
10,2101000023,10,True,11902.586324,1190.2586324,48,554,519,125,40942.93144721864,2,f89876707cb7328650ecf7078d62d286c1fe9adb46c6735c2ab8852e9e9d71f6,11902.586324,
10,2101000024,10,True,9818.128276,981.8128276,42,407,376,2,36755.64137743157,8,96132c6971ada35058f8669e436a526ef9dc857bfdf59fed3299ed91127ae3a7,9818.128276,
10,2101000025,10,True,10802.955586,1080.2955586,45,524,492,118,36434.77807599372,9,1a901ed912f366292df804c8fc44ce72e36517f1af7bff690820a2dd9c9ec2ad,10802.955586,
10,2101000026,10,True,10518.849697,1051.8849697,46,399,367,107,38929.24829731271,9,3625e632e5d9577e09bc19a07dbc10b2a9d63cad3bf3b56082ece223ec953d15,10518.849697,
10,2101000027,10,True,10078.693262,1007.8693262,42,536,505,1,34203.466305734124,8,8ea1c17cd59fe8943562703ef521ef69130312ac002fa6f9124bdc2a95dc8256,9832.829166,
10,2101000028,10,True,9524.176379,952.4176379,42,386,355,1,35930.88189469269,1,622a3f1e1b30a9af9a489daa1681609f29987bf03cabbb1c4779bd7070024dba,5688.615205,
10,2101000029,10,True,11944.763167,1194.4763166999999,46,543,511,165,40868.81581041303,7,75372bb28b9ba00b4d505d85442366d1520e0e29914307f3b7e71aa4672d4eba,11944.763167,
10,2101000030,10,True,8849.756447,884.9756447,42,358,329,0,33403.78223381823,4,579ff7aba0200ccc73ac893d52458f147de72a515c8eac8d9b06e8e50a61d5e9,3861.758712,
10,2101000031,10,True,10215.632665,1021.5632664999999,42,513,483,0,35588.16332943498,9,536ee32671436c12fcc04e823c1757396ace40ffb8c58101b3bb03d156f68cbc,9440.466732,
10,2101000032,10,True,10652.771067,1065.2771066999999,45,446,414,79,38608.855241389174,1,c01ecfb347d1a9d38ae61b13100c5c847cb23549a94342a2919d3ab2c3a5fa08,10652.771067,
10,2101000033,10,True,9331.109039,933.1109039,42,472,442,1,32380.54519240809,3,e05c9dd5f712f06306df333b1a16868176d2a0a40f3ade336bae98392d06e9d9,7801.647037,
10,2101000034,10,True,8505.707995,850.5707995,42,341,311,1,32183.539979537207,1,d8c5ae5ee9e98bc8aaf2041056057ece76c39a294ac937c89e7cda065dfb4a3b,1554.102195,
10,2101000035,10,True,11760.847967,1176.0847967,49,556,523,164,39579.23974664195,7,a94b08e7dcb7164dd2553eefb747d2b51f39910be00c298dcb6d511345a3547f,11760.847967,
10,2101000036,10,True,9932.828712,993.2828712,42,472,441,6,35319.143554333314,7,65b9dda0362a6c05d84ef1344551799cf08aa28b04624d8daa1955ab81d19a3a,9932.828712,
10,2101000037,10,True,9753.405131,975.3405131,42,504,473,4,33492.02564491055,7,db7a2875b061ccdab9dd800d3e2cce5623efd0927a5b26fa21024457e0a3bcfa,9157.792937,
10,2101000038,10,True,10710.956162,1071.0956162,46,403,372,129,39434.78081214568,6,2262f380207861cffe412f42772bf20d99184ef1e6fcaec90f4a253927ed05e6,10710.956162,
10,2101000039,10,True,9437.416337,943.7416337000001,42,496,465,0,32212.0816772849,2,2868f9399e13f9dc89124741736ca91400d9ad86af7116ec17c4a75226f9f80a,8814.353074,
10,2101000040,10,True,9583.692275,958.3692275,42,408,378,0,35578.46137440752,8,93aa0421aa0abd5a6b9948b472d4e6ab781110f2d691774e0873ba035e279229,9583.692275,
10,2101000041,10,True,10163.170098,1016.3170098,43,492,461,5,35885.85048921543,4,204644166a7a69c6a3387347269284c4b42c8e5cd891f10443d746bf54cf7cab,10163.170098,
10,2101000042,10,True,9198.300211,919.8300211,42,377,346,0,34586.50104315384,9,954c08fb4746c8626c105756133ec912c855c9108ae7f7441ceee4cdd75079ca,6197.012781,
10,2101000043,10,True,9919.061944,991.9061943999999,42,493,464,0,34700.30972049036,7,08748de7e21f5676540b63d622f70ef9b6d7f6fca57a11915ae7ec4e74dbcba3,9919.061944,
10,2101000044,10,True,9723.706095,972.3706095,43,453,422,4,34873.53046090289,6,c5b03261f462930abd21fc303c32d4c8f0324153be017c4c6295abb1f0e66719,9723.706095,
10,2101000045,10,True,9160.573988,916.0573988,42,481,450,0,31277.86994140605,1,3302e23a9720a7276b41cb2b0cb6868abd543590f88ba7fc183071a7a4950dfd,8466.226002,
10,2101000046,10,True,9208.059458,920.8059458,42,402,371,1,33870.297294445736,8,43d40f9bfd5bb2048142df82be6a10338a527e2c5a527f40be5ccc2bd9fa5322,6833.479316,
10,2101000047,10,True,12842.605269,1284.2605269,51,563,526,241,43643.02648758722,6,8e1158586ad5f5f807b571c43a714b0183663885782b451226c0a31167ce0f74,12842.605269,
10,2101000048,10,True,9540.919205,954.0919205,42,431,400,4,34619.59602212913,5,42bd84cfb6d8a1becb0e3f19c50f7ae2fdeda94756fb5e81b04c6deb1bc4ca20,8879.465945,
10,2101000049,10,True,9402.775955,940.2775955,42,431,400,6,33898.879766432816,4,ff6d6858a60ca1cc3216cb7b34eca6bf068075350dc17d55ab27212b5915b411,7830.274259,
10,2101000050,10,True,8705.973253,870.5973253,42,365,334,1,32469.866268459882,1,553a912324a9ca12008e19826cdb458342c84914dccbefb90bd14ac8b832a420,7647.649089,
10,2101000051,10,True,9551.461097,955.1461096999999,42,480,450,1,33242.30547802106,3,debe2a45cf25492d5aae077ff13b859f640e39c4c74523d8d06bdda5b12e300b,9551.461097,
10,2101000052,10,True,9479.172551,947.9172550999999,42,430,401,1,34375.86275055369,7,1026d4d4bed676480675dbd4c4cc04327cb1dd1b10bc245cb7ec0e330ae2fd30,7206.692685,
10,2101000053,10,True,10956.529406,1095.6529406,45,485,453,44,39482.647003950355,8,463f28cd270d6346f093e03a39859b66a6cfc2c76c282a0b76f91616785abb00,10956.529406,
10,2101000054,10,True,8912.381307,891.2381306999999,42,337,307,1,34336.906532980225,1,3cf568c65a124a3b460e75dcfdffc0b8a78fe0e02ef85bba359967561ceb920c,1222.58892,
10,2101000055,10,True,9635.989679,963.5989679,42,506,475,0,32904.94839996625,3,d5084312949a48ec63f3cbc5654b09f7b722cd34d4b532c6fbaa513e06cef75f,9003.729424,
10,2101000056,10,True,10499.644942,1049.9644942,43,444,414,0,39078.224705056775,6,edcc50d91a74b2cc0ba00daadfec4d2774be6160c38045f6381a5ce8ac0f88d2,10499.644942,
10,2101000057,10,True,9818.407491,981.8407491,42,476,446,0,34712.037457270155,5,ac8a5a7d573578e8bd5a9b77b0020f3c4d2c08a68fcfd07a135166497210899e,9818.407491,
10,2101000058,10,True,9087.146077,908.7146077,42,349,319,0,34865.73038486366,5,ac6bbed073dcbf1cf2852cf7eb88bd915efc935eb8e1b32d9bcd6330ca211eea,1901.954659,
10,2101000059,10,True,14581.020945,1458.1020945,51,542,505,354,51270.10454688125,9,04d80153782804b8bdf2491e878ee23f3d74694c5a1b6a515ce332eb47b396e2,14581.020945,
10,2101000060,10,True,8898.863035,889.8863035,42,387,359,1,32759.31517253809,1,fefa09d7a6280661f1a2c20842a7f927bbb09d856e10fd9f2615520cb01b1e86,6838.741923,
10,2101000061,10,True,9638.023596,963.8023596,42,515,485,1,32625.117980004376,2,163e23243b421ef321effbbb61967bd3cac44b3b0ccdd499beaff5d52c349362,8938.948035,
